Papers,Year,Author Countries,Author University or Industry
review_112,2017,"Canada, Canada, Canada","University, University, University"
review_113,2017,"China, China, Singapore, Australia, China","University, University, University, University, University"
review_114,2017,"China, China, Japan, Thailand, China","University, University, University, University, University"
review_115,2017,"China, China, China, China, China","University, University, University, University, University"
review_116,2020,"Hungary, Hungary, Hungary, Hungary, Hungary","University, University, University, University, University"
review_117,2020,"China, China, China, China, China","University, University, University, University, University"
review_118,2018,"Great Britain, Great Britain, Great Britain","University, University, University"
review_119,2020,"China, China, China, Singapore, China, China, China","University, University, University, University, University, University, University"
review_120,2018,"Japan, China, China, Japan, Japan","University, University, University, University, University"
review_121,2020,"Pakistan, Pakistan, Pakistan","University, University, University"
review_122,2018,"China, China, China, China, China","University, University, University, University, University"
review_123,2018,"The Netherlands, The Netherlands, Switzerland","University, University, University"
review_124,2021,"China, China, China, China, China","University, University, University, University, University"
review_125,2018,"New Zealand, China, New Zealand, New Zealand","University, University, University, University"
review_126,2018,"China, China, China, China, China","University, University, University, University, University"
review_127,2021,"China, China, China, China","University, University, University, University"
review_128,2017,"China, China, China, China, China","University, University, University, University, University"
review_129,2020,"Mexico, Mexico, Jordan, UAE, USA","University, University, University, University, University"
review_130,2017,Turkey,University
review_131,2021,"The Netherlands, Italy, The Netherlands, The Netherlands","University, University, University, University"
review_132,2021,"China, China, China, China, China, China, China, The Netherlands","University, University, University, University, University, University, University, University"
